ka,na,kcnc,amp,cellnum
0.08470376624725759,0.3173772938354695,0.014545591466128827,0.6,0
0.08470376624725759,0.3173772938354695,0.014545591466128827,0.6,1
0.08470376624725759,0.3173772938354695,0.014545591466128827,0.6,2
0.08470376624725759,0.3173772938354695,0.014545591466128827,0.7,0
0.08470376624725759,0.3173772938354695,0.014545591466128827,0.7,1
0.08470376624725759,0.3173772938354695,0.014545591466128827,0.7,2
0.13833346962928772,0.12197977663284988,0.011975329399108886,0.6,0
0.13833346962928772,0.12197977663284988,0.011975329399108886,0.6,1
0.13833346962928772,0.12197977663284988,0.011975329399108886,0.6,2
0.13833346962928772,0.12197977663284988,0.011975329399108886,0.7,0
0.13833346962928772,0.12197977663284988,0.011975329399108886,0.7,1
0.13833346962928772,0.12197977663284988,0.011975329399108886,0.7,2
0.12404692769050599,0.6260813112961111,0.013945064067840575,0.6,0
0.12404692769050599,0.6260813112961111,0.013945064067840575,0.6,1
0.12404692769050599,0.6260813112961111,0.013945064067840575,0.6,2
0.12404692769050599,0.6260813112961111,0.013945064067840575,0.7,0
0.12404692769050599,0.6260813112961111,0.013945064067840575,0.7,1
0.12404692769050599,0.6260813112961111,0.013945064067840575,0.7,2
0.10774031698703766,0.23211158522474246,0.01251531171798706,0.6,0
0.10774031698703766,0.23211158522474246,0.01251531171798706,0.6,1
0.10774031698703766,0.23211158522474246,0.01251531171798706,0.6,2
0.10774031698703766,0.23211158522474246,0.01251531171798706,0.7,0
0.10774031698703766,0.23211158522474246,0.01251531171798706,0.7,1
0.10774031698703766,0.23211158522474246,0.01251531171798706,0.7,2
